Petrol (USD),date,month,year
133.44,1,7,2013
127.5,23,7,2018
76.02,24,11,2003
134.73,31,10,2011
128.43,15,9,2014
137.1,27,8,2012
82.35,31,5,2004
108.79,30,11,2009
118.87,25,9,2017
116.91,28,7,2008
118.2,7,6,2010
120.52,19,2,2018
130.76,9,12,2013
112.87,20,4,2015
75.9,13,10,2003
126.5,13,10,2014
121.18,1,12,2014
78.93,17,1,2005
81.18,9,8,2004
134.06,4,6,2012
90.33,23,2,2009
135.21,20,2,2012
87.85,1,1,2007
102.17,27,7,2009
129.92,4,11,2013
97.19,15,10,2007
117.01,16,10,2017
129.41,11,8,2014
138.03,3,9,2012
108.1,9,11,2009
133.72,23,1,2012
134.38,4,2,2013
85.49,13,11,2006
129.63,4,8,2014
125.93,21,5,2018
97.82,14,8,2006
107.24,7,4,2008
133.77,8,7,2013
116.93,3,4,2017
84.34,8,11,2004
123.27,7,5,2018
134.46,17,6,2013
84.99,13,6,2005
90.77,22,8,2005
129.51,26,5,2014
82.7,21,3,2005
107.82,2,5,2016
80.45,28,2,2005
134.66,24,10,2011
118.13,2,10,2017
119.75,4,12,2017
127.54,30,7,2018
132.95,28,1,2013
132.0,14,1,2013
76.05,26,8,2003
121.18,3,5,2010
77.86,5,4,2004
77.59,29,3,2004
91.48,11,9,2006
120.15,13,2,2017
115.1,11,5,2015
116.02,31,10,2016
85.46,4,12,2006
133.4,30,9,2013
130.25,2,12,2013
85.47,27,11,2006
129.39,10,3,2014
119.67,20,11,2017
116.86,9,6,2008
117.87,14,6,2010
119.96,9,4,2018
76.15,22,9,2003
74.35,30,6,2003
107.44,28,12,2009
116.03,2,6,2008
137.6,9,9,2013
127.87,17,1,2011
136.46,8,8,2011
139.54,24,9,2012
135.66,25,7,2011
114.66,13,9,2010
111.56,22,2,2010
105.96,21,9,2009
108.19,9,5,2016
75.44,11,8,2003
107.61,14,4,2008
75.94,10,11,2003
96.39,1,10,2007
129.02,27,1,2014
116.5,14,11,2016
130.59,17,9,2018
130.15,8,10,2018
110.72,11,1,2010
111.44,27,6,2016
96.16,28,5,2007
104.22,21,1,2008
83.4,28,3,2005
128.76,17,3,2014
117.91,5,7,2010
134.66,29,4,2013
89.07,15,12,2008
87.1,15,1,2007
101.42,25,1,2016
116.02,25,5,2015
95.24,5,6,2006
84.26,15,11,2004
140.99,2,4,2012
135.56,11,2,2013
98.62,27,10,2008
81.63,27,9,2004
134.04,3,6,2013
86.12,12,2,2007
112.51,15,9,2008
103.82,14,1,2008
80.15,21,2,2005
111.31,12,9,2016
95.07,12,9,2005
90.53,14,11,2005
105.39,11,4,2016
86.19,19,1,2009
104.22,28,1,2008
74.59,9,6,2003
130.11,5,11,2018
116.95,4,9,2017
119.43,23,1,2017
134.38,26,11,2012
97.4,3,11,2008
116.44,27,7,2015
94.37,5,9,2005
101.47,19,11,2007
129.69,9,6,2014
135.95,15,8,2011
137.02,5,8,2013
109.45,6,10,2008
103.01,10,8,2009
106.75,7,12,2015
91.78,3,4,2006
128.34,25,8,2014
134.3,10,6,2013
114.78,7,8,2017
125.4,20,10,2014
116.51,2,8,2010
112.02,25,8,2008
129.88,16,6,2014
98.9,25,5,2009
101.98,15,6,2009
117.04,23,10,2017
78.4,26,4,2004
115.46,15,3,2010
116.34,16,8,2010
137.13,12,8,2013
119.28,7,7,2008
90.47,2,4,2007
120.18,31,12,2018
111.65,4,7,2016
87.49,4,7,2005
80.87,26,7,2004
106.32,26,1,2015
132.41,26,12,2011
85.27,16,5,2005
131.95,24,12,2012
115.82,5,6,2017
126.78,6,10,2014
141.97,9,4,2012
87.44,11,12,2006
95.6,4,5,2009
134.49,17,10,2011
138.91,10,9,2012
128.61,11,6,2018
96.46,8,5,2006
92.47,7,11,2005
108.97,12,10,2015
117.0,2,1,2017
86.28,22,1,2007
130.96,16,12,2013
82.13,24,5,2004
116.6,22,6,2015
130.98,22,10,2018
132.78,30,7,2012
105.11,31,8,2009
119.94,12,4,2010
117.57,6,11,2017
90.19,20,3,2006
116.35,9,8,2010
89.55,13,3,2006
129.72,28,2,2011
119.4,21,7,2008
104.7,24,8,2009
76.05,20,10,2003
85.91,16,10,2006
101.39,22,2,2016
103.3,29,6,2009
123.44,27,12,2010
119.98,18,12,2017
76.13,1,9,2003
135.62,25,4,2011
136.29,2,5,2011
96.59,11,5,2009
120.55,19,4,2010
76.0,1,12,2003
108.87,12,1,2015
88.2,25,9,2006
76.32,1,3,2004
85.54,6,11,2006
106.41,17,3,2008
90.16,23,3,2009
128.39,13,8,2018
134.86,27,6,2011
128.85,3,2,2014
110.81,22,9,2008
113.55,27,4,2015
95.49,12,6,2006
88.61,21,11,2005
134.9,13,2,2012
131.11,14,7,2014
111.6,18,1,2010
135.02,3,10,2011
85.42,5,1,2009
90.56,15,8,2005
111.22,20,6,2016
85.74,23,10,2006
119.93,24,5,2010
138.29,22,10,2012
80.34,12,7,2004
101.89,11,1,2016
97.14,8,10,2007
94.83,17,11,2008
76.43,6,10,2003
87.35,28,11,2005
106.85,7,9,2009
114.79,26,5,2008
130.03,25,11,2013
131.06,9,7,2012
106.83,19,1,2015
131.55,25,6,2012
127.58,28,5,2018
87.07,26,2,2007
91.42,29,8,2005
120.18,6,2,2017
118.03,27,3,2017
137.58,18,3,2013
83.91,4,4,2005
87.7,18,12,2006
94.11,13,4,2009
116.13,1,6,2015
128.62,22,9,2014
122.29,24,11,2014
109.2,2,3,2015
119.11,12,3,2018
118.95,20,3,2017
111.05,1,8,2016
74.21,14,7,2003
130.59,24,9,2018
78.04,19,4,2004
114.16,31,7,2017
95.27,3,7,2006
110.07,9,3,2015
86.6,9,10,2006
76.08,29,9,2003
135.68,22,4,2013
80.3,10,5,2004
126.97,9,7,2018
133.17,20,5,2013
119.29,5,3,2018
139.42,17,9,2012
90.16,8,12,2008
101.42,29,2,2016
98.26,29,10,2007
75.97,8,12,2003
110.6,14,9,2015
133.38,21,11,2011
117.88,28,6,2010
102.13,26,11,2007
76.38,23,2,2004
128.43,4,6,2018
114.59,6,9,2010
130.5,2,7,2012
127.92,18,6,2018
111.29,19,9,2016
119.83,8,12,2014
89.32,26,3,2007
111.65,3,10,2016
125.77,26,11,2018
138.5,25,2,2013
126.54,2,7,2018
111.03,13,6,2016
127.18,25,6,2018
98.05,7,8,2006
101.71,14,3,2016
95.36,29,5,2006
118.14,11,9,2017
131.04,21,7,2014
114.27,4,5,2015
89.25,1,8,2005
99.36,5,11,2007
129.42,19,5,2014
84.01,6,6,2005
136.07,1,8,2011
134.97,18,7,2011
93.33,26,9,2005
81.54,14,6,2004
96.1,22,5,2006
132.44,28,3,2011
121.58,12,2,2018
96.54,25,6,2007
109.28,15,8,2016
116.39,15,6,2015
75.12,4,8,2003
101.51,8,2,2016
76.44,16,2,2004
137.3,5,3,2012
111.04,12,5,2008
95.13,27,4,2009
111.04,16,3,2015
128.34,8,9,2014
123.94,3,11,2014
119.44,14,7,2008
90.16,16,3,2009
135.86,13,6,2011
96.39,15,5,2006
111.89,11,7,2016
118.15,24,4,2017
129.37,20,1,2014
135.09,12,11,2012
95.35,24,4,2006
94.23,18,4,2006
117.06,8,5,2017
120.13,27,11,2017
106.35,9,2,2015
113.71,8,3,2010
135.77,21,5,2012
105.44,28,9,2009
85.66,29,1,2007
93.47,24,10,2005
111.36,26,9,2016
91.16,27,3,2006
121.44,23,4,2018
91.99,16,4,2007
95.89,10,11,2008
90.12,16,2,2009
131.28,7,3,2011
94.14,17,10,2005
87.66,8,1,2007
95.71,21,5,2007
133.17,28,11,2011
106.9,24,3,2008
136.03,20,6,2011
117.02,10,4,2017
87.2,12,12,2005
133.11,21,3,2011
109.47,28,9,2015
116.79,20,7,2015
115.53,14,8,2017
94.65,17,9,2007
116.4,28,8,2017
128.94,12,11,2018
118.85,18,9,2017
120.56,16,4,2018
116.26,8,6,2015
119.21,29,11,2010
127.47,16,7,2018
137.31,8,4,2013
112.22,18,8,2008
106.41,18,4,2016
132.49,19,12,2011
131.86,7,1,2013
89.67,8,8,2005
102.6,17,12,2007
117.98,9,1,2017
108.34,23,2,2015
114.98,30,8,2010
102.53,24,12,2007
102.11,28,12,2015
102.36,3,8,2009
136.4,16,5,2011
115.79,29,5,2017
121.3,17,5,2010
117.69,16,6,2008
116.41,13,7,2015
114.58,17,8,2015
91.47,1,12,2008
115.06,20,9,2010
118.8,15,11,2010
97.81,22,10,2007
119.23,26,3,2018
130.24,10,9,2018
132.21,23,7,2012
112.42,1,3,2010
140.0,11,3,2013
108.94,5,10,2015
130.81,15,10,2018
118.91,13,11,2017
113.74,3,7,2017
115.74,18,5,2015
112.35,10,10,2016
107.36,16,11,2015
109.63,22,8,2016
129.36,3,3,2014
130.83,28,7,2014
79.54,31,1,2005
104.65,25,2,2008
96.88,17,7,2006
136.04,22,7,2013
76.5,9,2,2004
129.71,11,11,2013
86.95,2,10,2006
101.8,18,1,2016
115.2,24,10,2016
119.17,19,3,2018
121.73,5,2,2018
85.61,11,4,2005
129.11,21,4,2014
103.67,11,2,2008
131.1,7,7,2014
141.0,30,4,2012
128.81,10,2,2014
120.2,20,2,2017
96.56,18,6,2007
127.4,10,1,2011
128.73,14,2,2011
110.97,5,9,2016
94.8,3,9,2007
74.28,7,7,2003
108.04,26,10,2015
115.67,22,5,2017
112.06,30,3,2015
130.05,23,12,2013
109.75,8,8,2016
85.44,2,5,2005
130.69,30,6,2014
135.06,18,4,2011
136.86,18,2,2013
79.28,4,5,2004
76.36,19,1,2004
94.43,7,5,2007
89.01,16,1,2006
75.96,15,12,2003
120.02,6,3,2017
102.58,3,12,2007
134.56,19,11,2012
116.01,4,10,2010
86.02,12,1,2009
134.18,11,7,2011
110.4,6,6,2016
124.85,3,1,2011
122.94,10,11,2014
132.21,21,1,2013
89.65,13,2,2006
81.25,16,8,2004
131.49,16,7,2012
106.97,30,11,2015
87.35,5,12,2005
128.02,6,8,2018
134.52,24,6,2013
81.53,31,8,2004
76.2,15,9,2003
94.97,26,6,2006
77.39,15,3,2004
132.55,10,12,2012
116.78,11,10,2010
85.62,5,2,2007
95.0,27,8,2007
82.44,7,6,2004
107.47,21,12,2009
117.54,17,4,2017
90.28,2,3,2009
114.23,12,12,2016
109.5,28,4,2008
140.14,7,5,2012
139.48,26,3,2012
121.02,17,12,2018
112.2,1,9,2008
95.07,14,5,2007
97.83,31,7,2006
129.2,24,2,2014
114.43,26,6,2017
132.18,14,3,2011
115.0,19,12,2016
135.72,20,8,2012
85.52,20,6,2005
129.27,5,5,2014
122.31,20,12,2010
74.47,16,6,2003
120.19,1,1,2018
128.71,7,4,2014
81.2,27,12,2004
96.61,11,6,2007
76.48,2,2,2004
137.3,1,4,2013
135.0,12,9,2011
138.96,19,3,2012
117.39,12,7,2010
81.64,14,3,2005
109.34,4,1,2010
129.09,28,4,2014
111.89,15,2,2010
103.7,18,2,2008
76.23,8,9,2003
102.22,20,7,2009
111.06,5,1,2015
120.54,6,12,2010
109.85,29,9,2008
92.88,4,9,2006
127.4,19,11,2018
107.29,23,11,2015
138.35,15,10,2012
129.76,3,9,2018
139.47,4,3,2013
105.24,3,3,2008
129.5,12,5,2014
128.89,14,4,2014
110.43,29,8,2016
86.6,19,2,2007
113.72,28,11,2016
134.27,13,8,2012
111.69,25,7,2016
137.11,15,4,2013
80.84,19,7,2004
133.39,6,8,2012
128.76,31,3,2014
117.06,30,10,2017
110.3,5,5,2008
76.0,3,11,2003
103.57,6,7,2009
141.76,23,4,2012
97.78,24,7,2006
102.66,20,10,2008
87.74,5,3,2007
118.99,22,11,2010
135.62,6,6,2011
133.05,3,12,2012
111.91,1,2,2010
119.43,2,4,2018
99.39,1,6,2009
101.46,7,3,2016
87.56,19,12,2005
102.58,21,3,2016
85.36,9,5,2005
115.64,23,8,2010
80.03,14,2,2005
142.17,16,4,2012
107.43,2,11,2009
96.0,13,8,2007
133.67,11,6,2012
94.25,10,10,2005
112.52,13,4,2015
76.0,27,10,2003
113.66,5,12,2016
83.35,18,10,2004
86.73,27,6,2005
112.55,8,9,2008
134.41,7,11,2011
84.18,30,5,2005
